Average DTW Distance for label '87. hot'; 120.87
Average DTW Distance for label '89. warm'; 74.78
Average DTW Distance for label '90. cool'; 78.57
Average DTW Distance for label '91. new'; 81.29
Average DTW Distance for label '88. cold'; 88.14
Average DTW Distance for label '46. Clothing'; 110.75
Average DTW Distance for label '44. Shoes'; 145.27
Average DTW Distance for label '45. Pocket'; 117.28
Average DTW Distance for label '43. Pant'; 105.36
Average DTW Distance for label '42. T-Shirt'; 153.42
Average DTW Distance for label '27. deep'; 91.61
Average DTW Distance for label '29. clean'; 66.90
Average DTW Distance for label '30. dirty'; 45.01
Average DTW Distance for label '26. hard'; 79.38
Average DTW Distance for label '25. soft'; 63.02
Average DTW Distance for label '33. dead'; 38.70
Average DTW Distance for label '34. alive'; 29.89
Average DTW Distance for label '28. shallow'; 162.79
Average DTW Distance for label '24. low'; 45.03
Average DTW Distance for label '35. heavy'; 81.98
Average DTW Distance for label '31. strong'; 76.16
Average DTW Distance for label '23. high'; 90.25
Average DTW Distance for label '32. weak'; 86.09
Average DTW Distance for label '90. Secretary'; 116.16
Average DTW Distance for label '88. Patient'; 148.80
Average DTW Distance for label '86. Lawyer'; 80.44
Average DTW Distance for label '84. Teacher'; 107.45
Average DTW Distance for label '85. Student'; 117.23
Average DTW Distance for label '87. Doctor'; 96.46
Average DTW Distance for label '89. Waiter'; 110.50
Average DTW Distance for label '91. Priest'; 118.72
Average DTW Distance for label '61. Summer'; 99.18
Average DTW Distance for label '63. Winter'; 109.05
Average DTW Distance for label '65. Season'; 185.79
Average DTW Distance for label '64. Fall'; 107.73
Average DTW Distance for label 'Ex. Monsoon'; 88.89
Average DTW Distance for label '62. Spring'; 157.34
Average DTW Distance for label '95. bad'; 72.47
Average DTW Distance for label '92. old'; 88.07
Average DTW Distance for label '93. young'; 80.48
Average DTW Distance for label '94. good'; 78.69
Average DTW Distance for label '96. wet'; 147.21
Average DTW Distance for label '69. Wednesday'; 88.39
Average DTW Distance for label '70. Thursday'; 73.11
Average DTW Distance for label '72. Saturday'; 60.67
Average DTW Distance for label '67. Monday'; 73.94
Average DTW Distance for label '73. Today'; 99.09
Average DTW Distance for label '71. Friday'; 55.09
Average DTW Distance for label '66. Sunday'; 106.95
Average DTW Distance for label '68. Tuesday'; 85.96
Average DTW Distance for label '66. Brother'; 134.78
Average DTW Distance for label '65. Woman'; 106.07
Average DTW Distance for label '63. Baby'; 133.54
Average DTW Distance for label '64. Man'; 119.05
Average DTW Distance for label '67. Sister'; 123.70
Average DTW Distance for label '92. Police'; 101.74
Average DTW Distance for label '94. Artist'; 127.81
Average DTW Distance for label '98. Actor'; 112.51
Average DTW Distance for label '96. Manager'; 181.16
Average DTW Distance for label '93. Soldier'; 95.41
Average DTW Distance for label '97. Reporter'; 134.71
Average DTW Distance for label '99. Job'; 109.25
Average DTW Distance for label '95. Author'; 168.23
Average DTW Distance for label '41. Shirt'; 170.69
Average DTW Distance for label '39. Suit'; 140.69
Average DTW Distance for label '37. Hat'; 116.86
Average DTW Distance for label '40. Skirt'; 129.29
Average DTW Distance for label '38. Dress'; 123.69
Average DTW Distance for label '76. Neighbour'; 136.77
Average DTW Distance for label '77. Boy'; 154.60
Average DTW Distance for label '75. President'; 118.92
Average DTW Distance for label '74. Queen'; 139.58
Average DTW Distance for label '78. Girl'; 118.72
Average DTW Distance for label '1. loud'; 95.25
Average DTW Distance for label '3. happy'; 106.71
Average DTW Distance for label '2. quiet'; 83.40
Average DTW Distance for label '7. Deaf'; 45.64
Average DTW Distance for label '8. Blind'; 38.33
Average DTW Distance for label '5. Beautiful'; 45.92
Average DTW Distance for label '4. sad'; 51.85
Average DTW Distance for label '6. Ugly'; 59.44
Average DTW Distance for label '56. Grey'; 139.97
Average DTW Distance for label '55. White'; 115.88
Average DTW Distance for label '57. Colour'; 99.75
Average DTW Distance for label '52. Pink'; 103.23
Average DTW Distance for label '53. Orange'; 144.76
Average DTW Distance for label '54. Black'; 103.20
Average DTW Distance for label '29. Library'; 128.90
Average DTW Distance for label '32. Market'; 84.88
Average DTW Distance for label '28. Store or Shop'; 86.73
Average DTW Distance for label '31. Temple'; 135.82
Average DTW Distance for label '30. Hospital'; 106.23
Average DTW Distance for label '10. Plane'; 201.65
Average DTW Distance for label '13. Bicycle'; 210.55
Average DTW Distance for label '9. Train'; 217.47
Average DTW Distance for label '12. Truck'; 209.42
Average DTW Distance for label '11. Car'; 260.91
Average DTW Distance for label '14. Bus'; 209.25
Average DTW Distance for label '16. train ticket'; 256.62
Average DTW Distance for label '17. Transportation'; 210.48
Average DTW Distance for label '15. Boat'; 279.84
Average DTW Distance for label '33. Pencil'; 170.06
Average DTW Distance for label '34. Pen'; 180.88
Average DTW Distance for label '32. Bathroom'; 150.78
Average DTW Distance for label '31. Kitchen'; 157.17
Average DTW Distance for label '38. Page'; 193.42
Average DTW Distance for label '37. Book'; 144.12
Average DTW Distance for label '36. Soap'; 164.05
Average DTW Distance for label '35. Photograph'; 170.20
Average DTW Distance for label '80. Minute'; 77.89
Average DTW Distance for label '78. Year'; 78.97
